RacePos,Team,Driver,Time,Lap,Points,Race,Round,Orientation
1,McLaren,Ricciardo,2.31,17,25,Bahrain,1,Right
2,Ferrari,Sainz,2.33,14,18,Bahrain,1,Right
3,Ferrari,Sainz,2.4,33,,Bahrain,1,Right
4,Alpine,Ocon,2.46,43,15,Bahrain,1,Right
5,Williams,Latifi,2.47,14,12,Bahrain,1,Right
6,McLaren,Norris,2.49,24,10,Bahrain,1,Right
7,Alpine,Alonso,2.53,42,8,Bahrain,1,Right
8,Ferrari,Leclerc,2.54,31,6,Bahrain,1,Right
9,McLaren,Ricciardo,2.58,33,,Bahrain,1,Right
10,Ferrari,Sainz,2.58,44,,Bahrain,1,Right
11,Red Bull,Verstappen,2.62,43,4,Bahrain,1,Right
12,AlphaTauri,Tsunoda,2.62,44,2,Bahrain,1,Right
13,Red Bull,Perez,2.63,33,1,Bahrain,1,Right
14,Williams,Albon,2.7,13,,Bahrain,1,Right
15,McLaren,Ricciardo,2.76,44,,Bahrain,1,Right
16,AlphaTauri,Tsunoda,2.77,29,,Bahrain,1,Right
17,AlphaTauri,Gasly,2.78,14,,Bahrain,1,Right
18,Aston Martin,Stroll,2.8,45,,Bahrain,1,Right
19,Ferrari,Leclerc,2.81,46,,Bahrain,1,Right
20,Williams,Latifi,2.85,32,,Bahrain,1,Right
21,Williams,Latifi,2.89,45,,Bahrain,1,Right
22,Red Bull,Verstappen,2.92,14,,Bahrain,1,Right
23,Williams,Albon,3,46,,Bahrain,1,Right
24,Aston Martin,Stroll,3.08,18,,Bahrain,1,Right
25,Red Bull,Verstappen,3.08,30,,Bahrain,1,Right
26,Alpine,Alonso,3.09,25,,Bahrain,1,Right
27,Alfa Romeo,Bottas,3.1,14,,Bahrain,1,Right
28,Alfa Romeo,Bottas,3.11,36,,Bahrain,1,Right
29,Ferrari,Leclerc,3.14,15,,Bahrain,1,Right
30,Red Bull,Perez,3.19,15,,Bahrain,1,Right
31,Red Bull,Perez,3.23,43,,Bahrain,1,Right
32,Aston Martin,Hulkenberg,3.26,44,,Bahrain,1,Right
33,Alfa Romeo,Zhou,3.27,15,,Bahrain,1,Right
34,Mercedes,Russell,3.27,33,,Bahrain,1,Right
35,Alfa Romeo,Bottas,3.28,45,,Bahrain,1,Right
36,Haas,Schumacher,3.3,12,,Bahrain,1,Right
37,Williams,Albon,3.31,35,,Bahrain,1,Right
38,McLaren,Norris,3.38,45,,Bahrain,1,Right
39,Alpine,Alonso,3.39,11,,Bahrain,1,Right
40,Mercedes,Hamilton,3.45,11,,Bahrain,1,Right
41,Mercedes,Russell,3.47,45,,Bahrain,1,Right
42,Alpine,Ocon,3.57,30,,Bahrain,1,Right
43,Haas,Magnussen,3.57,46,,Bahrain,1,Right
44,Alfa Romeo,Zhou,3.59,37,,Bahrain,1,Right
45,Haas,Magnussen,3.63,14,,Bahrain,1,Right
46,Mercedes,Russell,3.69,15,,Bahrain,1,Right
47,Aston Martin,Stroll,3.7,38,,Bahrain,1,Right
48,Haas,Schumacher,3.79,35,,Bahrain,1,Right
49,Haas,Magnussen,3.81,34,,Bahrain,1,Right
50,Mercedes,Hamilton,3.99,27,,Bahrain,1,Right
51,Aston Martin,Hulkenberg,4,37,,Bahrain,1,Right
52,Mercedes,Hamilton,4.06,44,,Bahrain,1,Right
53,AlphaTauri,Gasly,4.13,32,,Bahrain,1,Right
54,AlphaTauri,Tsunoda,4.25,15,,Bahrain,1,Right
55,Alfa Romeo,Zhou,4.66,45,,Bahrain,1,Right
56,Aston Martin,Hulkenberg,4.88,19,,Bahrain,1,Right
57,McLaren,Norris,5.5,41,,Bahrain,1,Right
58,Alpine,Ocon,8.54,14,,Bahrain,1,Right
1,McLaren,Ricciardo,2.41,8,25,Saudi,2,Left
2,McLaren,Norris,2.51,16,18,Saudi,2,Left
3,Red Bull,Perez,2.53,15,15,Saudi,2,Left
4,Williams,Albon,2.55,13,12,Saudi,2,Left
5,Red Bull,Verstappen,2.6,16,10,Saudi,2,Left
